Genome ID	Genome Name	Organism Name	NCBI Taxon ID	Genome Status	Strain	Serovar	Biovar	Pathovar	MLST	Other Typing	Culture Collection	Type Strain	Completion Date	Publication	BioProject Accession	BioSample Accession	Assembly Accession	SRA Accession	GenBank Accessions	RefSeq Accessions	Sequencing Centers	Sequencing Status	Sequencing Platform	Sequencing Depth	Assembly Method	Chromosomes	Plasmids	Contigs	Genome Length	GC Content	PATRIC CDS	RefSeq CDS	Isolation Site	Isolation Source	Isolation Comments	Collection Date	Isolation Country	Geographic Location	Latitude	Longitude	Altitude	Depth	Other Environmental	Host Name	Host Gender	Host Age	Host Health	Body Sample Site	Body Sample Subsite	Other Clinical	AntiMicrobial Resistance	AntiMicrobial Resistance Evidence	Gram Stain	Cell Shape	Motility	Sporulation	Temperature Range	Optimal Temperature	Salinity	Oxygen Requirement	Habitat	Disease	Comments	Additional Metadata	Coarse Consistency	Fine Consistency	Checkm Completeness	Checkm Contamination	Genome Quality Flags	Genome Quality	Date Inserted	Date Modified
"1350471.3"	"Bifidobacterium longum subsp. longum 1-5B"		1350471	"WGS"	"1-5B"								"2014-07-16T00:00:00Z"	"-"	"PRJNA209580"	"SAMN02862991"	"GCA_000730105.1"		"JNVX00000000"	"-"	"Pirogov Russian National Research Medical University"		"Illumina HiSeq"	"3037.0x"	"CLC Genomics Workbench v. 6.0.2"			25	2367512	60.1	1978	1855		"stool sample"		"2005"	"Russia"	"Russia: Moscow"						"Human, Homo sapiens"									"Positive"	"Bacilli"	"No"	"No"				"Anaerobic"	"HostAssociated"		"Whole genome sequencing of Bifidobacterium longum subsp. longum 1-5B"		99.6	99.4	100			"Good"	"2014-12-09T00:45:34.444Z"	"2015-03-16T03:17:09.594Z"
"1350472.3"	"Bifidobacterium longum subsp. longum 7-1B"		1350472	"WGS"	"7-1B"								"2014-07-16T00:00:00Z"	"-"	"PRJNA209581"	"SAMN02862992"	"GCA_000730055.1"		"JNVY00000000"	"-"	"Pirogov Russian National Research Medical University"		"Illumina HiSeq"	"2814.0x"	"CLC Genomics Workbench v. 6.0.2"			34	2407087	59.8	1988	1879		"stool sample"		"2011"	"Russia"	"Russia: Moscow"						"Human, Homo sapiens"									"Positive"	"Bacilli"	"No"	"No"				"Anaerobic"	"HostAssociated"		"Whole genome sequencing of Bifidobacterium longum subsp. longum 7-1B"		99.8	99.6	100			"Good"	"2014-12-09T00:45:34.966Z"	"2015-03-16T03:17:09.594Z"
"1350473.3"	"Bifidobacterium longum subsp. longum 17-1B"		1350473	"WGS"	"17-1B"								"2014-07-16T00:00:00Z"	"-"	"PRJNA209583"	"SAMN02862993"	"GCA_000730035.1"		"JNVZ00000000"	"-"	"Pirogov Russian National Research Medical University"		"Illumina HiSeq"	"2001.0x"	"CLC Genomics Workbench v. 6.0.2"			20	2467200	60.2	2103	1912		"stool sample"		"2011"	"Russia"	"Russia: Moscow"						"Human, Homo sapiens"									"Positive"	"Bacilli"	"No"	"No"				"Anaerobic"	"HostAssociated"		"Whole genome sequencing of Bifidobacterium longum subsp. longum 17-1B"		99.6	99.3	100			"Good"	"2014-12-09T00:45:35.524Z"	"2015-03-16T03:17:09.594Z"
"1351.2056"	"Enterococcus faecalis strain J107"		1351	"WGS"	"J107"				"MLST.Enterococcus_faecalis.268"				"2019-07-09T00:00:00Z"		"PRJDB8215"	"SAMD00169686"	"GCA_007034685.1"		"BJTH00000000"		"Institute for Advanced Biosciences, Keio University"		"Illumina HiSeq 2500"	"77x"	"Platanus v. 1.2.4"			32	2928338	37.506638	2864	2793		"feces"			"Japan"	"Japan"						"Human, Homo sapiens"																			"About 40 trillion bacteria inhabit the human body, and the majority of them are in the gastrointestinal tract. Previous studies have shown the relationship between the human gut microbiota and various diseases, and some bacteria, which is called probiotics, are considered to be beneficial for human health. One of the well-recognized probiotic bacteria is Bifidobacterium genus. Species belonging to the genus are gram-positive, rod-shaped and anaerobic bacteria. They colonize food, such as yogurt, and various parts of the human body including gut, vagina, oral cavity, and breast milk. In this study, we report the draft genome sequence of Bifidobacterium species isolated from 16 healthy Japanese, which are in part sampled at 10-year intervals"		99.8	99				"Good"	"2019-09-30T19:54:54.209Z"	"2019-09-30T19:54:54.209Z"
"1351.2057"	"Enterococcus faecalis strain J137"		1351	"WGS"	"J137"				"MLST.Enterococcus_faecalis.16"				"2019-07-09T00:00:00Z"		"PRJDB8215"	"SAMD00169687"	"GCA_007034765.1"		"BJTI00000000"		"Institute for Advanced Biosciences, Keio University"		"Illumina HiSeq 2500"	"73x"	"Platanus v. 1.2.4"			31	2850529	37.346714	2769	2690		"feces"			"Japan"	"Japan"						"Human, Homo sapiens"																			"About 40 trillion bacteria inhabit the human body, and the majority of them are in the gastrointestinal tract. Previous studies have shown the relationship between the human gut microbiota and various diseases, and some bacteria, which is called probiotics, are considered to be beneficial for human health. One of the well-recognized probiotic bacteria is Bifidobacterium genus. Species belonging to the genus are gram-positive, rod-shaped and anaerobic bacteria. They colonize food, such as yogurt, and various parts of the human body including gut, vagina, oral cavity, and breast milk. In this study, we report the draft genome sequence of Bifidobacterium species isolated from 16 healthy Japanese, which are in part sampled at 10-year intervals"		99.9	98.8				"Good"	"2019-09-30T19:55:06.347Z"	"2019-09-30T19:55:06.347Z"
"1351.2058"	"Enterococcus faecalis strain J138"		1351	"WGS"	"J138"				"MLST.Enterococcus_faecalis.268"				"2019-07-09T00:00:00Z"		"PRJDB8215"	"SAMD00169688"	"GCA_007034845.1"		"BJTJ00000000"		"Institute for Advanced Biosciences, Keio University"		"Illumina HiSeq 2500"	"70x"	"Platanus v. 1.2.4"			32	2930781	37.513344	2868	2794		"feces"			"Japan"	"Japan"						"Human, Homo sapiens"																			"About 40 trillion bacteria inhabit the human body, and the majority of them are in the gastrointestinal tract. Previous studies have shown the relationship between the human gut microbiota and various diseases, and some bacteria, which is called probiotics, are considered to be beneficial for human health. One of the well-recognized probiotic bacteria is Bifidobacterium genus. Species belonging to the genus are gram-positive, rod-shaped and anaerobic bacteria. They colonize food, such as yogurt, and various parts of the human body including gut, vagina, oral cavity, and breast milk. In this study, we report the draft genome sequence of Bifidobacterium species isolated from 16 healthy Japanese, which are in part sampled at 10-year intervals"		99.8	99				"Good"	"2019-09-30T19:55:11.004Z"	"2019-09-30T19:55:11.004Z"
"1351.2059"	"Enterococcus faecalis strain J147"		1351	"WGS"	"J147"				"MLST.Enterococcus_faecalis.16"				"2019-07-09T00:00:00Z"		"PRJDB8215"	"SAMD00169689"	"GCA_007034965.1"		"BJTK00000000"		"Institute for Advanced Biosciences, Keio University"		"Illumina HiSeq 2500"	"75x"	"Platanus v. 1.2.4"			29	2794898	37.395817	2695	2629		"feces"			"Japan"	"Japan"						"Human, Homo sapiens"																			"About 40 trillion bacteria inhabit the human body, and the majority of them are in the gastrointestinal tract. Previous studies have shown the relationship between the human gut microbiota and various diseases, and some bacteria, which is called probiotics, are considered to be beneficial for human health. One of the well-recognized probiotic bacteria is Bifidobacterium genus. Species belonging to the genus are gram-positive, rod-shaped and anaerobic bacteria. They colonize food, such as yogurt, and various parts of the human body including gut, vagina, oral cavity, and breast milk. In this study, we report the draft genome sequence of Bifidobacterium species isolated from 16 healthy Japanese, which are in part sampled at 10-year intervals"		99.9	98.5				"Good"	"2019-09-30T19:55:47.538Z"	"2019-09-30T19:55:47.538Z"
"1351.2060"	"Enterococcus faecalis strain J158"		1351	"WGS"	"J158"				"MLST.Enterococcus_faecalis.16"				"2019-07-09T00:00:00Z"		"PRJDB8215"	"SAMD00169690"	"GCA_007035085.1"		"BJTL00000000"		"Institute for Advanced Biosciences, Keio University"		"Illumina HiSeq 2500"	"62x"	"Platanus v. 1.2.4"			29	2871953	37.488205	2790	2716		"feces"			"Japan"	"Japan"						"Human, Homo sapiens"																			"About 40 trillion bacteria inhabit the human body, and the majority of them are in the gastrointestinal tract. Previous studies have shown the relationship between the human gut microbiota and various diseases, and some bacteria, which is called probiotics, are considered to be beneficial for human health. One of the well-recognized probiotic bacteria is Bifidobacterium genus. Species belonging to the genus are gram-positive, rod-shaped and anaerobic bacteria. They colonize food, such as yogurt, and various parts of the human body including gut, vagina, oral cavity, and breast milk. In this study, we report the draft genome sequence of Bifidobacterium species isolated from 16 healthy Japanese, which are in part sampled at 10-year intervals"		99.9	98.7				"Good"	"2019-09-30T19:56:34.690Z"	"2019-09-30T19:56:34.690Z"
"1351.2061"	"Enterococcus faecalis strain J159"		1351	"WGS"	"J159"				"MLST.Enterococcus_faecalis.16"				"2019-07-09T00:00:00Z"		"PRJDB8215"	"SAMD00169691"	"GCA_007035185.1"		"BJTM00000000"		"Institute for Advanced Biosciences, Keio University"		"Illumina HiSeq 2500"	"58x"	"Platanus v. 1.2.4"			13	2873694	37.489838	2782	2723		"feces"			"Japan"	"Japan"						"Human, Homo sapiens"																			"About 40 trillion bacteria inhabit the human body, and the majority of them are in the gastrointestinal tract. Previous studies have shown the relationship between the human gut microbiota and various diseases, and some bacteria, which is called probiotics, are considered to be beneficial for human health. One of the well-recognized probiotic bacteria is Bifidobacterium genus. Species belonging to the genus are gram-positive, rod-shaped and anaerobic bacteria. They colonize food, such as yogurt, and various parts of the human body including gut, vagina, oral cavity, and breast milk. In this study, we report the draft genome sequence of Bifidobacterium species isolated from 16 healthy Japanese, which are in part sampled at 10-year intervals"		99.9	98.8				"Good"	"2019-09-30T19:58:07.518Z"	"2019-09-30T19:58:07.518Z"
"1351.2062"	"Enterococcus faecalis strain J188"		1351	"WGS"	"J188"				"MLST.Enterococcus_faecalis.16"				"2019-07-09T00:00:00Z"		"PRJDB8215"	"SAMD00169692"	"GCA_007035245.1"		"BJTN00000000"		"Institute for Advanced Biosciences, Keio University"		"Illumina HiSeq 2500"	"68x"	"Platanus v. 1.2.4"			22	2872519	37.49004	2779	2719		"feces"			"Japan"	"Japan"						"Human, Homo sapiens"																			"About 40 trillion bacteria inhabit the human body, and the majority of them are in the gastrointestinal tract. Previous studies have shown the relationship between the human gut microbiota and various diseases, and some bacteria, which is called probiotics, are considered to be beneficial for human health. One of the well-recognized probiotic bacteria is Bifidobacterium genus. Species belonging to the genus are gram-positive, rod-shaped and anaerobic bacteria. They colonize food, such as yogurt, and various parts of the human body including gut, vagina, oral cavity, and breast milk. In this study, we report the draft genome sequence of Bifidobacterium species isolated from 16 healthy Japanese, which are in part sampled at 10-year intervals"		99.9	98.7				"Good"	"2019-09-30T19:58:10.132Z"	"2019-09-30T19:58:10.132Z"
